千代田,1858
中央,5688
港,10063
新宿,18516
文京,5347
台東,6570
墨田,7264
江東,13219
品川,12070
目黒,10266
大田,19437
世田谷,27939
渋谷,9914
中野,12091
杉並,15595
豊島,10733
北,9474
荒川,5740
板橋,14528
練馬,17657
足立,17816
葛飾,12404
江戸川,18281
八王子,9845
立川,3253
武蔵野,3170
三鷹,3734
青梅,1669
府中,4374
昭島,1859
調布,4621
町田,7141
小金井,2177
小平,2944
日野,2838
東村山,2124
国分寺,2101
国立,1108
福生,1143
狛江,1471
東大和,1207
清瀬,1042
東久留米,1845
武蔵村山,1060
多摩,2113
稲城,1502
羽村,845
あきる野,1140
西東京,4089
瑞穂,412
日の出,167
檜原,12
奥多摩,55
大島,72
利島,1
新島,14
神津島,2
三宅,13
御蔵島,2
八丈,16
青ヶ島,0
小笠原,12
都外,29392
調査中,186
